lat:49.6444700 lon:19.8622100
lat:49.6455400 lon:19.8217300
lat:49.6440500 lon:19.8405400
lat:49.6518800 lon:19.8620800
lat:49.6462500 lon:19.8695200
lat:49.6489000 lon:19.8205100
lat:49.6302000 lon:19.8342000
lat:49.6300500 lon:19.8329400
lat:49.6510500 lon:19.8311000
lat:49.6468800 lon:19.8270200
lat:49.6374300 lon:19.8343100
lat:49.6497300 lon:19.8282000
lat:49.6460600 lon:19.8278300
lat:49.6504400 lon:19.8335500
lat:49.6505500 lon:19.8353200
lat:49.6397300 lon:19.8370200
lat:49.6504600 lon:19.8388200
lat:49.6374600 lon:19.8346000
lat:49.6491600 lon:19.8286300
lat:49.6549600 lon:19.8310500
lat:49.6553300 lon:19.8359900
lat:49.6534400 lon:19.8357400
lat:49.6367700 lon:19.8281500
lat:49.6490500 lon:19.8263100
lat:49.6462200 lon:19.8267300
lat:49.6512200 lon:19.8323300
lat:49.6389900 lon:19.8237900
lat:49.6424900 lon:19.8264600
lat:49.6485300 lon:19.8478600
lat:49.6543300 lon:19.8382100
lat:49.6310800 lon:19.8358900
lat:49.6314500 lon:19.8546700
lat:49.6255400 lon:19.8329700
lat:49.6320000 lon:19.8519200
lat:49.6542300 lon:19.8299200
lat:49.6332400 lon:19.8311100
lat:49.6312100 lon:19.8515800
lat:49.6541900 lon:19.8298000
lat:49.6332200 lon:19.8312600
lat:49.6546600 lon:19.8321500
lat:49.6331700 lon:19.8274900
lat:49.6315200 lon:19.8550900
lat:49.6549700 lon:19.8316200
lat:49.6336700 lon:19.8256900
lat:49.6322900 lon:19.8562400
lat:49.6541500 lon:19.8302200
lat:49.6318900 lon:19.8619800
lat:49.6545000 lon:19.8299200
lat:49.6548100 lon:19.8302800
lat:49.6322600 lon:19.8623700
lat:49.6546500 lon:19.8315200
lat:49.6310400 lon:19.8269200
lat:49.6315600 lon:19.8557100
lat:49.6544200 lon:19.8297000
lat:49.6548200 lon:19.8310900
lat:49.6543300 lon:19.8295200
lat:49.6313800 lon:19.8557600
lat:49.6541300 lon:19.8295700
lat:49.6542700 lon:19.8293000
lat:49.6328600 lon:19.8310300
lat:49.6322500 lon:19.8559300
lat:49.6539200 lon:19.8294700
lat:49.6317200 lon:19.8497000
lat:49.6538500 lon:19.8292200
lat:49.6421700 lon:19.8273100
lat:49.6420600 lon:19.8269200
lat:49.6516500 lon:19.8237900
lat:49.6489100 lon:19.8267400
lat:49.6509200 lon:19.8313700
lat:49.6503300 lon:19.8327100
lat:49.6466200 lon:19.8290600
lat:49.6485400 lon:19.8481300
lat:49.6534600 lon:19.8385300
lat:49.6486400 lon:19.8304400
lat:49.6544600 lon:19.8386100
lat:49.6353700 lon:19.8654900
lat:49.6368500 lon:19.8267000
lat:49.6542300 lon:19.8291300
lat:49.6331300 lon:19.8291200
lat:49.6318300 lon:19.8518000
lat:49.6539500 lon:19.8288500
lat:49.6348500 lon:19.8304900
lat:49.6317000 lon:19.8515700
lat:49.6535400 lon:19.8276500
lat:49.6540000 lon:19.8282800
lat:49.6347200 lon:19.8300300
lat:49.6321300 lon:19.8513200
lat:49.6482500 lon:19.8434400
lat:49.6495800 lon:19.8279700
lat:49.6491400 lon:19.8281000
lat:49.6492600 lon:19.8440700
lat:49.6326600 lon:19.8297900
lat:49.6315600 lon:19.8560200
lat:49.6320900 lon:19.8313900
lat:49.6315500 lon:19.8561200
lat:49.6327300 lon:19.8321400
lat:49.6537900 lon:19.8272600
lat:49.6540600 lon:19.8276900
lat:49.6538600 lon:19.8275100
lat:49.6536600 lon:19.8269800
lat:49.6303500 lon:19.8269300
lat:49.6527700 lon:19.8230400
lat:49.6504600 lon:19.8319300
lat:49.6500700 lon:19.8315400
